MENU ITEM,Kcal,KJ,"Total Fat
(g)","Saturated
Fat (g)","Total
Sugars (g)",Salt (g)
NON-GLUTEN POMODORO,535,2235,22,7.6,0.8,1.8
NON-GLUTEN CARBONARA,719,3004,37,17,1.1,3.4
NON-GLUTEN PULLED BEEF & VENSION,887,3707,48,19,4.9,4.3
"NON-GLUTEN PESTO
ROSSO",1111,4647,66,23,6,5.6
NON-GLUTEN BOLOGNESE,641,2680,23,5.3,11,3.9
NON-GLUTEN POLLOPICCANTE,889,3715,53,28,4.4,2
NON-GLUTEN VEGANLENTIL RAGU,713,2990,28,4.1,5.8,4.9
RISOTTO PESCE,520,2184,21,5.9,1,3.9
RISOTTO POLLO FUNGHI,537,2257,20,6.4,1.3,2.4
RISOTTO FUNGHI,439,1847,20,9.3,0.9,2
